Composant,Dimension Principale,Valeur,Unité,Matériau Suggéré,Notes
Cylindre,Alésage,85.0,mm,Aluminium/Fonte,Chemisage possible
Cylindre,Course,85.0,mm,-,-
Cylindre,Ép. Paroi,3.00,mm,Aluminium,Calculé pour 17 bar
Piston,Diamètre,85.0,mm,Alu Haute Temp,-
Bielle,Entraxe,148.8,mm,Acier Forgé,-
Bielle,Diamètre Corps,8.1,mm,Acier Forgé,Section circulaire equiv.
Vilebrequin,Rayon Manivelle,42.5,mm,Acier,-
Vilebrequin,Diamètre Maneton,21.9,mm,Acier Traité,Surface rectifiée
Volant,Diamètre Ext.,255,mm,Acier/Fonte,Masse ~0.7 kg
Alternateur,Puissance Nom.,12.31,kW,-,Accouplement direct ou courroie
